#,Latency steering,Period steering,Latency velocity,Period velocity
581,-1,-1,25462784,162641761
582,28660224,162627767,-1,-1
583,-1,-1,25545472,160685243
584,28683776,160625913,-1,-1
585,-1,-1,25509888,58738509
586,28762880,58854250,-1,-1
587,-1,-1,25537536,164689354
588,28605696,164504186,-1,-1
589,-1,-1,25415680,67694410
590,28637696,67848010,-1,-1
591,-1,-1,25417216,156625639
592,28614144,156600184,-1,-1
593,-1,-1,25366016,62823097
594,28591360,62851237,-1,-1
595,-1,-1,28456960,180589766
596,31643136,180550781,-1,-1
597,-1,-1,25368320,133659301
598,28623872,133729481,-1,-1
599,-1,-1,25520384,83913788
600,28614656,83752044,-1,-1
601,-1,-1,15538688,154631376
602,18790912,154789229,-1,-1
603,-1,-1,25582336,58924443
604,31743232,61832936,-1,-1
605,-1,-1,25522688,167531447
606,28679936,164528441,-1,-1
607,-1,-1,25496064,67881446
608,28614656,67841742,-1,-1
609,-1,-1,27549696,161529342
610,30737664,161599131,-1,-1
611,-1,-1,25516288,58863429
612,28676608,58835841,-1,-1
613,-1,-1,25382144,163498151
614,28620544,163576735,-1,-1
615,-1,-1,12595968,46051252
616,15723008,45939575,-1,-1
617,-1,-1,25479168,167503653
618,28674816,167572160,-1,-1
619,-1,-1,25471232,57881413
620,28607232,57821381,-1,-1
621,-1,-1,25549568,176698027
622,28647936,176660558,-1,-1
623,-1,-1,25466368,67818955
624,28606464,67861059,-1,-1
625,-1,-1,25372160,154497854
626,28560896,154547017,-1,-1
627,-1,-1,25422592,67819696
628,31608832,70817528,-1,-1
629,-1,-1,25539840,150697036
630,28790528,147761366,-1,-1
631,-1,-1,26987776,61850045
632,30148096,61758833,-1,-1
633,-1,-1,25601280,154742053
634,28766976,154748091,-1,-1
635,-1,-1,25524480,67802834
636,28647936,67760996,-1,-1
637,-1,-1,25459200,164561431
638,28662784,164641234,-1,-1
639,-1,-1,26414080,59825291
640,29634560,59842548,-1,-1
641,-1,-1,25420544,169502096
642,28653056,169513629,-1,-1
643,-1,-1,20565248,54001240
644,23812096,54015577,-1,-1
645,-1,-1,25478144,155673054
646,28640000,155588490,-1,-1
647,-1,-1,25513216,60805180
648,28741376,60871326,-1,-1
649,-1,-1,25888000,175454340
650,32062208,178400178,-1,-1
651,-1,-1,25474816,61972639
652,28601088,58924692,-1,-1
653,-1,-1,25915904,142607746
654,29147136,142713489,-1,-1
655,-1,-1,25458432,83874316
656,28676352,83860612,-1,-1
657,-1,-1,25401600,145563540
658,28727040,145670794,-1,-1
659,-1,-1,25556224,58898831
660,29586176,59603151,-1,-1
661,-1,-1,25394688,165451360
662,31602944,167629777,-1,-1
663,-1,-1,25438976,61926769
664,28646144,58926357,-1,-1
665,-1,-1,19350528,157430686
666,23602944,158475303,-1,-1
667,-1,-1,26983936,89873984
668,30182912,88820383,-1,-1
669,-1,-1,27518208,159682424
670,30656256,159621797,-1,-1
671,-1,-1,24456704,57666968
672,27680256,57752364,-1,-1
673,-1,-1,25462784,160627074
674,28697088,160637586,-1,-1
675,-1,-1,26426624,146569599
676,29676288,146585566,-1,-1
677,-1,-1,25458432,58921865
678,28680960,58894346,-1,-1
679,-1,-1,26673152,165825152
680,29692672,165622237,-1,-1
681,-1,-1,25428224,173304123
682,31601408,176457193,-1,-1
683,-1,-1,25417984,62696085
684,29726208,60832144,-1,-1
685,-1,-1,25488640,146677098
686,28660736,145540916,-1,-1
687,-1,-1,25445120,58833870
688,28646912,58863274,-1,-1
689,-1,-1,25987840,169559512
690,29165824,169535547,-1,-1
691,-1,-1,25476864,161609650
692,28608512,161563153,-1,-1
693,-1,-1,25586432,59863362
694,28813312,59958493,-1,-1
695,-1,-1,25410560,160432855
696,28592128,160387622,-1,-1
697,-1,-1,22915328,163641582
698,26136320,163681167,-1,-1
699,-1,-1,25471744,58913292
700,28654848,58874917,-1,-1
701,-1,-1,25639168,152643009
702,28785664,152606866,-1,-1
703,-1,-1,25479680,85749027
704,28646144,85768558,-1,-1
705,-1,-1,25649664,158646898
706,28807168,158637900,-1,-1
707,-1,-1,25197056,58704576
708,28365568,58716086,-1,-1
709,-1,-1,25425664,158575990
710,28753408,158735140,-1,-1
711,-1,-1,25464064,59908644
712,28750592,59867922,-1,-1
713,-1,-1,25491968,158645369
714,28685824,158552231,-1,-1
715,-1,-1,26455808,59739846
716,29732864,59822969,-1,-1
717,-1,-1,15408896,162549573
718,18613248,162476388,-1,-1
719,-1,-1,25423616,58922177
720,28608768,58903657,-1,-1
721,-1,-1,27389440,164431591
722,30649344,164505773,-1,-1
723,-1,-1,25458944,59948622
724,28615936,59845943,-1,-1
725,-1,-1,25427456,178482536
726,28633856,178532312,-1,-1
727,-1,-1,25466112,141642785
728,28642048,141612480,-1,-1
729,-1,-1,29337344,62626979
730,32552704,62666049,-1,-1
731,-1,-1,9422336,162700449
732,12617984,162680674,-1,-1
733,-1,-1,25447424,58913403
734,28629760,58900605,-1,-1
735,-1,-1,25488896,174562448
736,28642048,174532775,-1,-1
737,-1,-1,26062592,152669863
738,29119232,152573640,-1,-1
739,-1,-1,25540864,75754204
740,28764416,75921761,-1,-1
741,-1,-1,26488832,137664352
742,29683712,137635356,-1,-1
743,-1,-1,25490432,74757644
744,28666880,74739180,-1,-1
745,-1,-1,25502208,148635967
746,28556544,148514040,-1,-1
747,-1,-1,25459200,70845458
748,28638720,70971098,-1,-1
749,-1,-1,25455616,159599240
750,28616448,159580065,-1,-1
751,-1,-1,25412096,58836455
752,28660224,58924597,-1,-1
753,-1,-1,25496320,182608758
754,28593152,182456539,-1,-1
755,-1,-1,25415168,136507288
756,28644864,136640292,-1,-1
757,-1,-1,25555712,77878163
758,28773120,77866137,-1,-1
759,-1,-1,10444288,150527515
760,13626880,150492027,-1,-1
761,-1,-1,10518016,69844760
762,13772800,69917420,-1,-1
763,-1,-1,26098432,152657508
764,29208064,152512194,-1,-1
765,-1,-1,26943744,164482535
766,30160128,164589663,-1,-1
767,-1,-1,26042624,60872260
768,29102080,60715269,-1,-1
769,-1,-1,25865984,164471974
770,29133568,164680156,-1,-1
771,-1,-1,25920256,63760627
772,29148416,63721509,-1,-1
773,-1,-1,25984512,156696131
774,29185536,156668211,-1,-1
775,-1,-1,28823296,63744602
776,32094976,63816083,-1,-1
777,-1,-1,25979136,171613786
778,29112576,171475000,-1,-1
779,-1,-1,26953984,71707565
780,30183680,71803796,-1,-1
781,-1,-1,25920256,137591219
782,29201152,137642544,-1,-1
783,-1,-1,25950208,81786805
784,29145088,81700387,-1,-1
785,-1,-1,25985536,143701923
786,29320448,143843045,-1,-1
787,-1,-1,26933248,80659941
788,30114048,80505210,-1,-1
789,-1,-1,25956864,157516667
790,29098496,157477858,-1,-1
791,-1,-1,14888960,49809154
792,18116352,49895457,-1,-1
793,-1,-1,25943040,180567329
794,29168384,180565263,-1,-1
795,-1,-1,25967104,140626172
796,29138944,140572406,-1,-1
797,-1,-1,25379840,58648848
798,28549376,58646514,-1,-1
799,-1,-1,25489664,161725184
800,28688384,161754685,-1,-1
801,-1,-1,25507072,71778070
802,28679936,71751771,-1,-1
803,-1,-1,25320704,157481351
804,28554752,157543186,-1,-1
805,-1,-1,26466048,57983093
806,30652160,58935124,-1,-1
807,-1,-1,25452032,175486044
808,28609024,174456194,-1,-1
809,-1,-1,14388736,47814188
810,17596672,47866534,-1,-1
811,-1,-1,26940672,181583836
812,30108928,181543484,-1,-1
813,-1,-1,21436160,54830013
814,24655872,54881706,-1,-1
815,-1,-1,9370112,147547516
816,12602880,147560393,-1,-1
817,-1,-1,25680128,159803502
818,28670464,159560904,-1,-1
819,-1,-1,26955520,87535808
820,30138112,87727644,-1,-1
821,-1,-1,25600256,141770556
822,28794880,141783232,-1,-1
823,-1,-1,25397248,67666014
824,28672256,67745735,-1,-1
825,-1,-1,25428736,157651495
826,28672256,157620412,-1,-1
827,-1,-1,25496064,61814322
828,28639744,61714557,-1,-1
829,-1,-1,16529920,165538569
830,19794176,165659198,-1,-1
831,-1,-1,25528832,58887364
832,31495936,61590096,-1,-1
833,-1,-1,25443328,175513805
834,28636416,172739706,-1,-1
835,-1,-1,25481472,152686853
836,28701696,152713939,-1,-1
837,-1,-1,26982144,61852173
838,30177280,61827533,-1,-1
839,-1,-1,25502464,154513109
840,28688896,154503825,-1,-1
841,-1,-1,25481472,78738182
