#,Latency steering,Period steering,Latency velocity,Period velocity
6593,35014144,55322103,-1,-1
6594,-1,-1,1733414990794606336,144183164
6595,33907968,151487967,-1,-1
6596,-1,-1,1733414990848634880,154028330
6597,39813376,148224381,-1,-1
6598,-1,-1,1733414990857289984,108654943
6599,39675904,108235035,-1,-1
6600,-1,-1,1733414990900107776,92817485
6601,34096384,94120308,-1,-1
6602,-1,-1,1733414990878041856,27933872
6603,34025472,38789336,-1,-1
6604,-1,-1,1733414990938198784,160156924
6605,34911488,147654735,-1,-1
6606,-1,-1,1733414990919517440,31318575
6607,20709120,31894204,-1,-1
6608,-1,-1,1733414990932376320,162858639
6609,36006912,174744727,-1,-1
6610,-1,-1,1733414990995943424,163567092
6611,40892672,153219833,-1,-1
6612,-1,-1,1733414990997118720,51174769
6613,37774336,49734004,-1,-1
6614,-1,-1,1733414991028657664,131538982
6615,37804544,132000079,-1,-1
6616,-1,-1,1733414991028741120,100083317
6617,32844544,99204800,-1,-1
6618,-1,-1,1733414991074336768,95595512
6619,32944128,95821697,-1,-1
6620,-1,-1,1733414991050283520,25946527
6621,18166528,25832954,-1,-1
6622,-1,-1,1733414991094259968,143976291
6623,35408128,144383744,-1,-1
6624,-1,-1,1733414991118191104,123930895
6625,34993664,123352763,-1,-1
6626,-1,-1,1733414991136748544,118557285
6627,33182208,119269478,-1,-1
6628,-1,-1,1733414991130455296,43706579
6629,36311040,43280378,-1,-1
6630,-1,-1,1733414991176276224,145820836
6631,35482624,147285465,-1,-1
6632,-1,-1,1733414991174139648,47863161
6633,35419136,46466620,-1,-1
6634,-1,-1,1733414991170775552,146636045
6635,43777024,152583660,-1,-1
6636,-1,-1,1733414991199223040,128447275
6637,43360256,133844305,-1,-1
6638,-1,-1,1733414991219435520,170212174
6639,25110272,161896837,-1,-1
6640,-1,-1,1733414991232160768,62725118
6641,38760448,72718894,-1,-1
6642,-1,-1,1733414991290999040,158838134
6643,35749376,148498369,-1,-1
6644,-1,-1,1733414991268818432,27819310
6645,17328640,25079110,-1,-1
6646,-1,-1,1733414991278703616,109884925
6647,23966464,109895443,-1,-1
6648,-1,-1,1733414991327426048,148722294
6649,37451520,151249337,-1,-1
6650,-1,-1,1733414991342141952,114715820
6651,35358720,112709659,-1,-1
6652,-1,-1,1733414991320220928,28079058
6653,33863680,39308504,-1,-1
6654,-1,-1,1733414991384881664,164660401
6655,39281920,156037846,-1,-1
6656,-1,-1,1733414991362530048,27647989
6657,18237440,24938586,-1,-1
6658,-1,-1,1733414991369456128,106925906
6659,19564544,109434346,-1,-1
6660,-1,-1,1733414991420994560,101538198
6661,38022912,98863763,-1,-1
6662,-1,-1,1733414991415905536,44910732
6663,35136768,45003186,-1,-1
6664,-1,-1,1733414991414564864,148659563
6665,39786240,151309482,-1,-1
6666,-1,-1,1733414991461523968,146958373
6667,34926080,140715769,-1,-1
6668,-1,-1,1733414991438183424,26659428
6669,21798144,29878775,-1,-1
6670,-1,-1,1733414991480016384,91832800
6671,33621504,92552723,-1,-1
6672,-1,-1,1733414991475497472,45480796
6673,36572416,45834101,-1,-1
6674,-1,-1,1733414991482545408,157048064
6675,35890432,155952849,-1,-1
6676,-1,-1,1733414991522528000,89982444
6677,34584576,89817540,-1,-1
6678,-1,-1,1733414991543476224,70947779
6679,35057408,69968589,-1,-1
6680,-1,-1,1733414991522014720,28538577
6681,20789760,29723562,-1,-1
6682,-1,-1,1733414991563887360,141872608
6683,36883968,141843041,-1,-1
6684,-1,-1,1733414991547762176,33874370
6685,26895360,34395724,-1,-1
6686,-1,-1,1733414991604666368,156904227
6687,43134464,156467570,-1,-1
6688,-1,-1,1733414991599345664,44678979
6689,36873216,44640572,-1,-1
6690,-1,-1,1733414991623338240,123992530
6691,33903104,124725178,-1,-1
6692,-1,-1,1733414991611770624,138432229
6693,43164672,150089069,-1,-1
6694,-1,-1,1733414991666924800,155153903
6695,32931840,142345829,-1,-1
6696,-1,-1,1733414991642407424,25482510
6697,17369856,26565267,-1,-1
6698,-1,-1,1733414991685016576,192609144
6699,41862144,197992027,-1,-1
6700,-1,-1,1733414991741183744,156167039
6701,38438656,152685435,-1,-1
6702,-1,-1,1733414991716780032,25596168
6703,15747584,21937247,-1,-1
6704,-1,-1,1733414991759558656,142778383
6705,36620032,145713281,-1,-1
6706,-1,-1,1733414991736430080,26871129
6707,31987200,37024816,-1,-1
6708,-1,-1,1733414991772082944,135652645
6709,45781248,123693375,-1,-1
6710,-1,-1,1733414991820747264,148664357
6711,37493504,153300931,-1,-1
6712,-1,-1,1733414991796900864,26153397
6713,17525248,21285556,-1,-1
6714,-1,-1,1733414991815972096,169070943
6715,45902336,180804260,-1,-1
6716,-1,-1,1733414991870422784,104450769
6717,39617024,97630530,-1,-1
6718,-1,-1,1733414991892115200,71692015
6719,37027840,68067417,-1,-1
6720,-1,-1,1733414991888012032,45896750
6721,35596544,45078160,-1,-1
6722,-1,-1,1733414991938748416,150736264
6723,46713600,162455107,-1,-1
6724,-1,-1,1733414991920352256,131603664
6725,42644992,119588248,-1,-1
6726,-1,-1,1733414991968687616,148335229
6727,37539328,151376408,-1,-1
6728,-1,-1,1733414991985676032,116988150
6729,33218304,113433284,-1,-1
6730,-1,-1,1733414991962714368,27038281
6731,19237632,27617627,-1,-1
6732,-1,-1,1733414991990377728,177663028
6733,43861248,177779512,-1,-1
6734,-1,-1,1733414992023135744,132757818
6735,46687232,132589378,-1,-1
6736,-1,-1,1733414992071925504,148789837
6737,37412864,149701934,-1,-1
6738,-1,-1,1733414992067908608,45982929
