#,Latency steering,Period steering,Latency velocity,Period velocity
3315,19399168,120781647,-1,-1
3316,-1,-1,1733238052087616000,40112371
3317,34766336,39718754,-1,-1
3318,-1,-1,1733238052132283392,94667157
3319,34289408,95271887,-1,-1
3320,-1,-1,1733238052124143104,41859614
3321,33276672,42015328,-1,-1
3322,-1,-1,1733238052144341760,120198487
3323,33878528,119344441,-1,-1
3324,-1,-1,1733238052126791680,32449676
3325,30759424,35727329,-1,-1
3326,-1,-1,1733238052163354880,136562954
3327,33829120,132692012,-1,-1
3328,-1,-1,1733238052137468160,24113372
3329,17503744,25091015,-1,-1
3330,-1,-1,1733238052173116160,135647817
3331,33021440,136084924,-1,-1
3332,-1,-1,1733238052196562176,73445735
3333,33108992,74601125,-1,-1
3334,-1,-1,1733238052187657984,41095775
3335,31772416,39425288,-1,-1
3336,-1,-1,1733238052157146368,19488244
3337,21881856,27094721,-1,-1
3338,-1,-1,1733238052211572480,154425833
3339,37074432,146577234,-1,-1
3340,-1,-1,1733238052194163200,82590713
3341,38676224,85736512,-1,-1
3342,-1,-1,1733238052197782528,103619101
3343,37854464,112799861,-1,-1
3344,-1,-1,1733238052247964160,50181485
3345,33030656,38036221,-1,-1
3346,-1,-1,1733238052251511040,103546719
3347,38665472,106876841,-1,-1
3348,-1,-1,1733238052243174912,41663657
3349,29891840,37624717,-1,-1
3350,-1,-1,1733238052269162496,125987431
3351,30886144,126722072,-1,-1
3352,-1,-1,1733238052307297280,138134718
3353,33846016,138595694,-1,-1
3354,-1,-1,1733238052276333824,119036126
3355,33655808,121536081,-1,-1
3356,-1,-1,1733238052279273216,102939271
3357,33864448,107851022,-1,-1
3358,-1,-1,1733238052345868288,166594905
3359,33512960,161133510,-1,-1
3360,-1,-1,1733238052339707392,43839175
3361,33063936,40587991,-1,-1
3362,-1,-1,1733238052320934144,131226423
3363,39831808,142366765,-1,-1
3364,-1,-1,1733238052350853632,129919300
3365,21172224,119676637,-1,-1
3366,-1,-1,1733238052334986752,34133076
3367,31831040,36945401,-1,-1
3368,-1,-1,1733238052348361216,113374406
3369,16917504,110553091,-1,-1
3370,-1,-1,1733238052386462464,38101091
3371,34910976,40011560,-1,-1
3372,-1,-1,1733238052367320832,30858053
3373,19721472,29195831,-1,-1
3374,-1,-1,1733238052379248128,61927496
3375,33252608,62182432,-1,-1
3376,-1,-1,1733238052363216896,33968186
3377,36834816,41182631,-1,-1
3378,-1,-1,1733238052412549888,149332838
3379,40021248,143942275,-1,-1
3380,-1,-1,1733238052413368064,50818232
3381,30857472,47699371,-1,-1
3382,-1,-1,1733238052433415680,170047150
3383,32996864,172629125,-1,-1
3384,-1,-1,1733238052424855040,41439301
3385,33451776,40752038,-1,-1
3386,-1,-1,1733238052451462912,176607635
3387,32845824,175461065,-1,-1
3388,-1,-1,1733238052430598912,29136036
3389,26794752,31837067,-1,-1
3390,-1,-1,1733238052453021184,122422196
3391,24440320,119617267,-1,-1
3392,-1,-1,1733238052491679744,138658468
3393,32854784,138695418,-1,-1
3394,-1,-1,1733238052534359296,92679104
3395,31667456,91674003,-1,-1
3396,-1,-1,1733238052510335744,25976440
3397,26029824,30111666,-1,-1
3398,-1,-1,1733238052560836608,150500604
3399,32722432,147485531,-1,-1
3400,-1,-1,1733238052598659584,37822770
3401,33593088,39210389,-1,-1
3402,-1,-1,1733238052628421888,129762345
3403,45757184,140281810,-1,-1
3404,-1,-1,1733238052604063488,125641107
3405,41626112,119739343,-1,-1
3406,-1,-1,1733238052655749632,151686173
3407,36882432,144662913,-1,-1
3408,-1,-1,1733238052657576192,51826329
3409,31538688,53496276,-1,-1
3410,-1,-1,1733238052659360256,151783907
3411,41687552,153864748,-1,-1
3412,-1,-1,1733238052694074880,84714663
3413,35064064,82539792,-1,-1
3414,-1,-1,1733238052720261888,76186488
3415,33847296,75153744,-1,-1
3416,-1,-1,1733238052724809984,54548007
3417,35541504,57572086,-1,-1
3418,-1,-1,1733238052751020032,176210132
3419,19817984,172790614,-1,-1
3420,-1,-1,1733238052737387520,36367207
3421,35064832,40104599,-1,-1
